,I_ge
284,5.220030191528154
285,6.621211142912959
286,7.98247878135281
287,6.182422262949163
288,7.3199393017015435
289,5.064336989868351
290,5.2662735355736565
291,5.315032572422496
292,5.408571412131455
293,5.0164369174512355
294,6.5476038323864225
295,7.1289575769407625
296,5.783795135450433
297,6.438504971694604
298,6.966013032032257
299,5.152383990512135
300,7.048370571677537
301,6.04072736677359
302,7.557031843267136
303,4.958814275329267
304,6.012826075873848
305,5.376606256556779
306,6.56827046604082
307,5.6994006294981805
308,6.639702469387828
309,7.2797523330206415
310,5.0931030380291755
311,7.54447982800466
312,5.558530141301477
313,7.665565262077515
314,5.299423329917954
315,5.022723767378862
316,6.909611745293276
317,5.749623735436048
318,5.920141898379882
319,7.465607654868634
320,5.533643363471499
321,5.6337805197059
322,6.1395082934493725
323,5.466323110283877
324,5.61130180333537
325,6.467349208754078
326,6.496696951897751
327,6.461378618778366
328,5.240900414640214
329,7.714315599364948
330,6.638511804285386
331,5.581226891559089
332,4.967389772612669
333,5.489070444631053
334,5.022362346097935
335,5.80596360321971
336,7.335401170442232
337,5.482186881013296
338,5.368736443742746
339,6.356618149502436
340,5.376671826632197
341,7.068504179205831
342,5.989686642272387
343,5.823027517643367
344,6.370009589603692
345,8.343132937429495
346,6.650157879348247
347,5.887886673219935
348,7.16942094681132
349,5.545436160569466
350,6.84157461411017
351,6.6436968334092565
352,6.108254124088658
353,7.937974302057462
354,6.318831031532508
355,7.118607106934039
356,6.278014479467901
357,7.38670226497076
358,5.001338812363178
359,6.662828451175226
360,5.063741618078324
361,5.317099975048863
362,6.305298194196242
363,5.630263585631897
364,6.247141526344517
365,7.1051535995113735
366,6.1495331021721835
367,5.1313707434515266
368,7.09493779893271
369,6.87459740416298
370,5.079551286079266
371,4.9832141230182465
372,5.223503288907858
373,4.962167310561623
374,5.252877319608643
375,7.916176356991962
376,7.753999015439225
377,8.271724503729263
378,6.895710487385819
379,5.031359395913418
380,4.968065265976015
381,6.072469869919341
382,5.474790437548002
383,8.30960889399941
384,8.406304463538358
385,7.299454398157448
386,5.051853063856814
387,7.142173622106264
388,5.648594002844924
389,5.2307436978384425
390,5.251243863789838
391,5.170826398606868
392,8.143213169838978
393,4.954377491369279
394,4.987784797102304
395,7.394349957909279
396,6.629580181263136
397,8.189841178854447
398,4.960530974196971
399,7.708738890423589
400,6.746050618360409
401,7.185280179251944
402,7.5392970167883036
403,4.968302786249041
404,4.9495019323499685
405,4.9483505524309095
406,4.996499279974415
407,5.916958215060323
408,5.4693602508486485
409,5.049151340351482
410,5.466512234182083
411,6.7178218789246
412,5.603675381137632
413,4.987102053543493
414,8.219667124211384
415,5.0861545739251675
416,5.051020497207152
417,7.175113412778432
418,7.628650577172985
419,8.40461158867094
420,6.130452080232287
421,6.520019431822756
422,6.02262344205096
423,5.512579020429505
424,5.614416510145418
425,6.25305965632951
426,6.082030063638475
427,5.681061581249489
428,7.2350960260004324
429,5.606683390002742
430,4.979230009548896
431,7.850833256881952
432,6.974329432505465
433,6.98658756407234
434,5.853412326012067
435,5.030996822030114
436,7.886203605455121
437,5.390599762306397
438,7.26770707240698
439,7.562821646484636
440,6.2988313474167406
441,5.396995440076369
442,7.16415907464156
443,8.113735720480804
444,7.553061717181064
445,8.139241643471589
446,6.170735053167125
447,6.656131239583147
448,5.350946299383508
449,4.993565875546978
450,5.138448770732536
451,7.822275712960094
452,5.242512021158819
453,5.182243279573984
454,6.550801556874499
455,6.065560495242574
456,7.626053858919211
457,7.019580105729383
458,7.631860032350611
459,6.312535513548718
460,5.738614664565269
461,7.312497416592704
462,5.469821220509486
463,5.871766393920628
464,5.1368364232354455
465,5.016557898214796
466,6.192142825101239
467,6.583007132849096
468,5.545045618044647
469,4.947726722954479
470,6.40650782051384
471,6.399499384224328
472,5.755048460945037
473,5.995291000140651
474,6.603617643787786
475,6.109962871776379
476,4.975724027526718
477,5.67405285677162
478,6.592205185462517
479,5.5607796541792505
480,5.3091559655712715
481,4.953192352800351
482,5.509914985725007
483,5.472166038886291
484,7.523251679677404
485,6.5716726798932505
486,6.340682598649327
487,5.016531795302926
488,5.574969368560192
489,7.16551201340802
490,6.3948065579534354
491,6.763959570095906
492,7.097757607614901
493,5.889936502429932
494,5.878764304268174
495,5.295948557065468
496,6.548749278626369
497,6.817967092389598
498,7.300542471170099
499,4.960912807650581
500,5.213026594988057
501,5.170543018775846
502,4.967332131292717
503,4.9803766795349365
504,5.011095447066131
505,6.110231055886528
506,4.964179148746623
507,5.439449513540978
508,8.00468871249432
509,6.063670852281331
510,5.15184529824412
511,5.361984157465726
512,5.026858513001782
513,6.7273811974810505
514,5.080279133501023
515,7.369510261851429
516,5.368717037805975
517,7.838532933922966
518,5.165594467969313
519,7.885247836209868
520,7.829600834428894
521,7.0267016503947
522,7.3646272557751535
523,5.151431713891553
524,6.149111827089349
525,5.037163173079197
526,5.148476804624231
527,5.370479524113295
528,5.508337470851532
529,6.089956939799135
530,7.1510631718712965
531,7.342435634674358
